咪,5 3 4 ,5 3 4 ,3 3 2 2 ,1 2 2 1 ,0.453125 0.09765625 0.19921875 0.28125 
嬘,3 5 4 ,3 5 4 ,2 1 2 2 ,1 3 2 3 ,0.36328125 0.35546875 0.48046875 0.34375 
搚,4 4 3 ,4 4 3 ,3 2 2 1 ,2 1 4 4 ,0.39453125 0.39453125 0.40625 0.5703125 
廛,2 4 4 ,2 4 4 ,2 1 2 2 ,2 4 4 5 ,0.2734375 0.4140625 0.33984375 0.4609375 
箉,4 2 3 ,4 2 3 ,2 2 1 2 ,3 1 3 3 ,0.40625 0.4140625 0.38671875 0.4296875 
鏈,3 5 5 ,3 5 5 ,2 1 4 2 ,3 3 1 2 ,0.359375 0.4296875 0.38671875 0.39453125 
隯,2 3 4 ,2 3 4 ,2 0 3 2 ,2 1 4 5 ,0.53125 0.30859375 0.33984375 0.51953125 
墍,4 4 1 ,4 4 1 ,2 2 1 1 ,4 4 2 3 ,0.4375 0.359375 0.28125 0.375 
蕟,3 2 2 ,3 2 2 ,1 2 1 1 ,3 4 3 3 ,0.2890625 0.27734375 0.30859375 0.328125 
儛,6 3 5 ,6 3 5 ,3 3 3 3 ,2 2 3 3 ,0.3046875 0.37890625 0.3671875 0.52734375 
躲,4 2 5 ,4 2 5 ,2 2 2 3 ,3 3 1 1 ,0.4453125 0.37890625 0.31640625 0.2578125 
乜,2 2 2 ,2 2 2 ,2 1 1 1 ,1 1 1 2 ,0.1875 0.16015625 0.1875 0.4765625 
炇,4 3 3 ,4 3 3 ,3 1 2 1 ,1 1 1 1 ,0.32421875 0.35546875 0.1875 0.3984375 
錖,3 3 1 ,3 3 1 ,1 3 1 1 ,2 3 2 2 ,0.21484375 0.35546875 0.4296875 0.38671875 
焂,4 4 3 ,4 4 3 ,3 2 2 2 ,1 2 2 2 ,0.2890625 0.30078125 0.37890625 0.359375 
鳴,3 3 4 ,3 3 4 ,3 1 1 3 ,1 1 3 4 ,0.35546875 0.2265625 0.35546875 0.5625 
銜,4 3 5 ,4 3 5 ,3 1 3 3 ,2 0 2 1 ,0.32421875 0.375 0.3125 0.40625 
爯,3 3 1 ,3 3 1 ,2 2 1 1 ,3 2 3 3 ,0.31640625 0.3984375 0.37109375 0.45703125 
駅,4 5 7 ,4 5 7 ,2 2 6 2 ,1 3 2 1 ,0.6640625 0.40234375 0.4296875 0.40234375 
吃,3 3 3 ,3 3 3 ,3 1 2 2 ,1 1 2 2 ,0.41015625 0.30078125 0.3125 0.4140625 
孈,2 4 5 ,2 4 5 ,2 1 3 3 ,1 2 2 5 ,0.359375 0.3828125 0.40234375 0.609375 
